Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract
Li S.-Q.,"Li, Si-Qi (57211268150)",57211268150,Hybrid seismic vulnerability models for regional structures considering bivariate intensity measures,2024,Soil Dynamics and Earthquake Engineering,183,,108763,,,,10.1016/j.soildyn.2024.108763,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195396837&doi=10.1016%2fj.soildyn.2024.108763&partnerID=40&md5=2cef0531172eee60e24e174df3ac350b,"The multiple-probability decision-making method for earthquake hazards considers multiple performance indicators and can be used to effectively estimate the seismic risk of structures. The seismic vulnerability model directly affects the development of the earthquake risk distribution in regional structures. This paper innovatively developed a bivariate intensity measurement method based on macroscopic and instrumental seismic intensities. An optimized instrument intensity calculation model was established considering the actual monitoring data of historical earthquakes in China. A hybrid seismic vulnerability quantification method based on empirical, expert judgement and analysis has been proposed and applied to evaluate the vulnerability levels of three types of building clusters in two typical earthquakes in Qinghai Province, China (the 2008 Dachaidan (DCD) earthquake and the 2009 Haixi (HX) earthquake). A structural hybrid vulnerability matrix and surface for nine zones based on bivariate intensity measures were developed. A synthetic vulnerability membership index considering fuzzy failure criteria and decision theory was proposed, and vulnerability membership curves for different vulnerability levels were established. An improved earthquake economic loss prediction function is proposed, and synthetic economic vulnerability index prediction models for three typical buildings in different regions are established. The estimated and calculated results of the developed multiscale variable parameter synthetic vulnerability model are highly consistent with the actual earthquake loss observations. © 2024"
Kadak U.,"Kadak, Ugur (56962784800)",56962784800,Modeling brain information flow dynamics with multidimensional fuzzy inference systems,2024,Information Sciences,677,,120807,,,,10.1016/j.ins.2024.120807,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195374445&doi=10.1016%2fj.ins.2024.120807&partnerID=40&md5=8e92464143e59aaa32187d1da52306e4,"In this paper, we introduce a pioneering approach to analyzing brain information flow dynamics through the development of a novel hybrid system. The key innovation of our system lies in the integration of n-cell fuzzy functions into a multidimensional fuzzy inference system (MFIS). Fuzzy n-cell numbers, representing a significant advancement in fuzzy mathematics, are central to our methodology, showcasing their capability to handle intricate uncertainties and imprecise data within multidimensional scenarios. Our proposed system aligns seamlessly with neuroscience principles, providing a robust framework to unravel the complexities of brain information flow dynamics. We leverage Transfer Entropy and Granger Causality measures for a quantitative assessment of influence strengths, enabling a systematic exploration of temporal information flow within the brain. Furthermore, the utilization of fuzzy n-cell numbers enhances the system's adaptability to the intricacies of neural processes. The outcomes of our study are presented through a series of visualizations, offering a comprehensive demonstration of the effectiveness and adaptability of the proposed hybrid system. This article aims to contribute to the understanding of brain dynamics by presenting a versatile and complex methodology that combines fuzzy mathematics, neuroscience principles, and advanced analytical techniques. © 2024 Elsevier Inc."
Abdelkawy M.A.; Menaem A.A.; Matoog R.T.; Tedjani A.H.,"Abdelkawy, M.A. (56704936300); Menaem, A. Abdel (57209201729); Matoog, R.T. (8609189900); Tedjani, A.H. (58637155100)",56704936300; 57209201729; 8609189900; 58637155100,Romanovski–Jacobi spectral collocation schemes for distributed order differential problems,2024,Alexandria Engineering Journal,101,,,98,107,9,10.1016/j.aej.2024.05.071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194310842&doi=10.1016%2fj.aej.2024.05.071&partnerID=40&md5=4e501362855d0e7e1d28df2b96b55461,"The article highlights the growing importance of computational mathematics in tackling intricate real-world phenomena governed by distributed order fractional dynamics. These dynamics, characterized by memory effects and non-local interactions, are pervasive in various fields such as physics, biology, finance, and engineering. Despite their prevalence, analytical solutions for distributed order fractional differential equations remain difficult to find, necessitating the development of robust numerical methods. The paper explores the effectiveness of Romanovski–Jacobi spectral collocation techniques in this context and provides a thorough analysis of how to use them to solve distributed order fractional differential equations. By leveraging these schemes, researchers gain valuable insights into efficiently analyzing and simulating fractional systems, thereby advancing our understanding of complex dynamics across diverse domains. It provides precise numerical findings by using finite expansion to evaluate residuals. The precision of the approach is illustrated by numerical simulations, especially in distributed order fractional differential equations. Additionally, we provide a few numerical tests to demonstrate the method's ability to preserve the underlying problem's non-smooth solution. © 2024 Faculty of Engineering, Alexandria University"
Hegyvári N.,"Hegyvári, Norbert (6602541747)",6602541747,The complexity of subcube partition relates to the additive structure of the support,2024,Information and Computation,299,,105170,,,,10.1016/j.ic.2024.105170,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192217854&doi=10.1016%2fj.ic.2024.105170&partnerID=40&md5=2da609470aeb75415341d72594de25b0,"The subcube partition of a Boolean function is a partition of {0,1}n into the union of subcubes ∪iCi, such that the value of the function f is the same on each vector of Ci, i.e. for every i and x,y∈Ci, f(x)=f(y). The complexity of it denotes by HSCP(f) is the minimum number of subcubes in a subcube partition which computes the Boolean function f. We give a lower bound of the complexity of subcube partitions of Boolean function which relates the additive behaviour of the support and the influence of the function. © 2024 Elsevier Inc."
Yang X.-Z.; Quan W.-W.; Zhou J.-L.; Zhang O.; Wang X.-D.; Liu C.-F.,"Yang, Xue-zhi (35212627500); Quan, Wei-wei (57190051048); Zhou, Jun-lei (59160993300); Zhang, Ou (59160993400); Wang, Xiao-dong (56431244300); Liu, Chun-feng (28767739400)",35212627500; 57190051048; 59160993300; 59160993400; 56431244300; 28767739400,A new machine learning model to predict the prognosis of cardiogenic brain infarction,2024,Computers in Biology and Medicine,178,,108600,,,,10.1016/j.compbiomed.2024.108600,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195279128&doi=10.1016%2fj.compbiomed.2024.108600&partnerID=40&md5=5babe78ddc4a1617b848237a7eb4ba83,"Cardiogenic cerebral infarction (CCI) is a disease in which the blood supply to the blood vessels in the brain is insufficient due to atherosclerosis or stenosis of the coronary arteries in the patient's heart, which leads to neurological deficits. To predict the pathogenic factors of cardiogenic cerebral infarction, this paper proposes a machine learning based analytical prediction model. 494 patients with CCI who were hospitalized for the first time were consecutively included in the study between January 2017 and December 2021, and followed up every three months for one year after hospital discharge. Clinical, laboratory and imaging data were collected, and predictors associated with relapse and death in CCI patients at six months and one year after discharge were analyzed using univariate and multivariate logistic regression methods, meanwhile established a new machine learning model based on the enhanced moth-flame optimization (FTSAMFO) and the fuzzy K-nearest neighbor (FKNN), called BITSAMFO-FKNN, which is practiced on the dataset related to patients with CCI. Specifically, this paper proposes the spatial transformation strategy to increase the exploitation capability of moth-flame optimization (MFO) and combines it with the tree seed algorithm (TSA) to increase the search capability of MFO. In the benchmark function experiments FTSAMFO beat 5 classical algorithms and 5 recent variants. In the feature selection experiment, ten times ten-fold cross-validation trials showed that the BITSAMFO-FKNN model proved actual medical importance and efficacy, with an accuracy value of 96.61%, sensitivity value of 0.8947, MCC value of 0.9231, and F-Measure of 0.9444. The results of the trial showed that hemorrhagic conversion and lower LVDD/LVSD were independent risk factors for recurrence and death in patients with CCI. The established BITSAMFO-FKNN method is helpful for CCI prognosis and deserves further clinical validation. © 2024 Elsevier Ltd"
Pérez-Cervera A.; Teruel A.E.,"Pérez-Cervera, A. (57200086354); Teruel, A.E. (6701320104)",57200086354; 6701320104,Slow passage through a transcritical bifurcation in piecewise linear differential systems: Canard explosion and enhanced delay,2024,Communications in Nonlinear Science and Numerical Simulation,135,,108044,,,,10.1016/j.cnsns.2024.108044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192100134&doi=10.1016%2fj.cnsns.2024.108044&partnerID=40&md5=67c1328d14957c52b489bc905aa06da0,"In this paper we analyse the phenomenon of the slow passage through a transcritical bifurcation with special emphasis in the maximal delay zd(λ,ɛ) as a function of the bifurcation parameter λ and the singular parameter ɛ. We quantify the maximal delay by constructing a piecewise linear (PWL) transcritical minimal model and studying the dynamics near the slow-manifolds. Our findings encompass all potential maximum delay behaviours within the range of parameters, allowing us to identify: (i) the trivial scenario where the maximal delay tends to zero with the singular parameter; (ii) the singular scenario where zd(λ,ɛ) is not bounded, and also (iii) the transitional scenario where the maximal delay tends to a positive finite value as the singular parameter goes to zero. Moreover, building upon the concepts by Vidal and Françoise (2012), we construct a PWL system combining symmetrically two transcritical minimal models in such a way it shows periodic behaviour. As the parameter λ changes, the system presents a non-bounded canard explosion leading to an enhanced delay phenomenon at the critical value. Our understanding of the maximal delay zd(λ,ɛ) of a single normal form, allows us to determine both, the amplitude of the canard cycles and, in the enhanced delay case, the increase of the amplitude for each passage. © 2024"
Margielewicz J.; Gąska D.; Haniszewski T.; Litak G.; Wolszczak P.; Borowiec M.; Sosna P.; Ševeček O.; Rubeš O.; Hadaš Z.,"Margielewicz, Jerzy (6507598813); Gąska, Damian (42461507800); Haniszewski, Tomasz (55786567900); Litak, Grzegorz (7003517944); Wolszczak, Piotr (57189032893); Borowiec, Marek (56219267100); Sosna, Petr (58055089800); Ševeček, Oldřich (35320409600); Rubeš, Ondřej (56528477600); Hadaš, Zdeněk (24767676300)",6507598813; 42461507800; 55786567900; 7003517944; 57189032893; 56219267100; 58055089800; 35320409600; 56528477600; 24767676300,Vibration energy harvesting system with cyclically time-varying potential barrier,2024,Applied Energy,367,,123384,,,,10.1016/j.apenergy.2024.123384,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192469551&doi=10.1016%2fj.apenergy.2024.123384&partnerID=40&md5=0e1df317047341883fa846c98dd85e30,"Nonlinear kinetic energy harvesters are becoming more and more popular as well as advanced and efficient. This paper presents the study of the dynamics of such a system in a wide range of excitation parameters, assuming at the same time the possibility of a cyclical and smooth change of the potential function. We have designed a system that allows to obtain a wide spectrum of potential characteristics, from a single well to a three-well system, and we have analyzed its effectiveness. Next, we checked the influence of parameters characterizing the change of potential using bifurcation diagrams and their comparison with the effective voltage values. We also analyzed the behavior of the system in chaotic and periodic motion zones and presented selected sections of Poincare and Fourier amplitude-frequency spectra of chaotic solutions. The last element of the analysis was the impact of cyclic potential change on coexisting solutions. We have shown that the best effectiveness is achieved when the frequency of the external load is equal to the resonant frequency of the flexible cantilever beam and the change of potential is limited to extreme positions. © 2024 Elsevier Ltd"
Raffaele L.; Bruno L.; Laccone F.; Venuti F.; Tomei V.,"Raffaele, Lorenzo (57191710659); Bruno, Luca (56209534000); Laccone, Francesco (57194570621); Venuti, Fiammetta (55994570000); Tomei, Valentina (35365446300)",57191710659; 56209534000; 57194570621; 55994570000; 35365446300,Holistic performance assessment of gridshells: Methodological framework and applications to steel gridshells,2024,Journal of Building Engineering,90,,109406,,,,10.1016/j.jobe.2024.109406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191430553&doi=10.1016%2fj.jobe.2024.109406&partnerID=40&md5=18ca3143a134a83568c9b7011fbec2a8,"Gridshells are a paradigmatic example of the intricate concept and analysis of building structures. Their design should simultaneously take into account different goals and meet final performances, by referring to multiple disciplinary competences such as the ones of architects, engineers, builders, and experts in mathematics and computer graphics. The present study provides a deep insight into a new framework for the holistic performance assessment of gridshells. The overall performance is quantitatively expressed as the linear combination of three partial metrics, referring to structural response, buildability and sustainability. Each partial metric combines multiple goal metrics, some defined in the current state of the art, others proposed by the Authors. The proposed method is tested with reference to three gridshells with their spring line partially unconstrained, and to their fully-constrained counterparts. This application is intended to shed light on the scarcely investigated mechanical behaviour of free-edge gridshells, and to be inspirational for future proposals of design/optimization solutions within the newborn FreeGrid international benchmark. © 2024 The Author(s)"
Roysdon M.; Xing S.,"Roysdon, Michael (57215088550); Xing, Sudan (57200912218)",57215088550; 57200912218,"Correction: On Multiple Lp-Curvilinear-Brunn–Minkowski Inequalities(The Journal of Geometric Analysis, (2024), 34, (222), 10.1007/s12220-024-01657-y)",2024,Journal of Geometric Analysis,34,8,246,,,,10.1007/s12220-024-01699-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195509240&doi=10.1007%2fs12220-024-01699-2&partnerID=40&md5=e91bfe1d65a06e01edd5454a8e93c30e,"In this article, the affiliations are incorrectly identified for authors Michael Roysdon and Sudan Xing. Instead of Department of Mathematics, Applied Mathematics, and Statistics, Case Western Reserve University, Cleveland, OH, USA for Michael Roysdon, the affiliation was published as Department of Mathematics and Statistics, University of Arkansas at Little Rock, Little Rock, AR, USA and for Sudan Xing, instead of Department of Mathematics and Statistics, University of Arkansas at Little Rock, Little Rock, AR, USA it is was published as Department of Mathematics, Applied Mathematics, and Statistics, Case Western Reserve University, Cleveland, OH, USA. The original article has been corrected. © The Author(s) 2024."
Inoue A.; Tanaka R.,"Inoue, Atsushi (57211608361); Tanaka, Ryuichi (36041800700)",57211608361; 36041800700,The rank of socioeconomic status within a class and the incidence of school bullying and school absence,2024,Economics of Education Review,101,,102545,,,,10.1016/j.econedurev.2024.102545,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193610342&doi=10.1016%2fj.econedurev.2024.102545&partnerID=40&md5=6bcbdb9777718f4bd7e853de55e49bbc,"In this study, we examine the impact of a student's household socioeconomic status (SES) rank within a class on two critical factors affecting the accumulation of human capital: school bullying victimization and school absence. We identify the effect from the variation of a within-class SES rank of students assigned to different schools and classes, controlling the absolute level of SES and class fixed effects. Using the data from middle-school students in the Trends in International Mathematics and Science Study (TIMSS), we find that, although the absolute level of SES is negatively associated with these incidences, students with a high SES rank within a class are more likely to be the victims of school bullying and to be absent from school. We confirm that these results are robust when the sample is restricted to schools where students' assignment to classes is as good as random. © 2024 The Author(s)"
Nikodinoska I.; Moran C.A.,"Nikodinoska, Ivana (57491351800); Moran, Colm A. (9747619600)",57491351800; 9747619600,Genome sequence data of Saccharomyces cerevisiae CBS 493.94,2024,Data in Brief,55,,110557,,,,10.1016/j.dib.2024.110557,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195473572&doi=10.1016%2fj.dib.2024.110557&partnerID=40&md5=79c238d86b6d2e18a901009d23bbc7f4,"Whole genome sequencing (WGS) and data concerning identity and safety for Saccharomyces cerevisiae CBS 493.94 are reported. This strain was isolated from a British brewery in 1958 and deposited at the CBS culture collection Westerdijk Fungal Biodiversity Institute under the accession number CBS 493.94. The long-reads sequencing data, obtained via PacBio Sequel, and short-reads data, via Illumina NovaSeq 6000, were deposited at NCBI under accession number PRJNA1044661. The hybrid assembly was made publicly available via Zenodo and NCBI. For strain identification, data from 18S rRNA, ANI dendrogram and Core Genome single nucleotide polymorphism (SNP) Tree showed that the present isolate belongs to the genus Saccharomyces, species cerevisiae. The potential genes of concern, e.g. antimycotic resestance genes, were not detected. This strain is commonly used as a feed additive for animal health improvement and the present data summarise the unambiguous identity and strain's FKS1 gene does not code for any amino acid variants of concern. © 2024 The Authors"
Liu C.; Su H.,"Liu, Chengcheng (57221258989); Su, Hang (35761828200)",57221258989; 35761828200,Prediction and Rational Design of Stacking Fault Energy of Austenitic Alloys Based on Interpretable Machine Learning and Chemical Composition,2024,Steel Research International,95,8,2400225,,,,10.1002/srin.202400225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195047477&doi=10.1002%2fsrin.202400225&partnerID=40&md5=77058118fd38d8f7835b4581efb10637,"Accurately predicting the stacking fault energy (SFE), as one of the crucial factors influencing the material deformation mechanism, is a focal point in research. This study utilizes measured SFE values from the literature on austenitic alloys to establish a predictive model for the relationship between chemical composition and SFE using machine learning techniques. Among five compared machine learning algorithms, the extremely randomized trees algorithm demonstrates the highest prediction accuracy. Incorporating atomic features further enhances the model's performance. Subsequently, feature selection is conducted using correlation analysis, recursive elimination, and exhaustive search to obtain the optimal subset of features. The interpretability of the model is analyzed using Shapley additive explanations values, providing rankings of feature importance and critical thresholds for feature influence. Finally, rational design of SFE is demonstrated by adjusting alloy composition, exemplified by Fe–17.5Cr–15.6Ni–2.5Mo–0.02Si–0Co steel. © 2024 Wiley-VCH GmbH."
Zeb A.; Ahmad W.; Asif M.; Simic V.; Senapati T.; Hou M.,"Zeb, Aurang (57525040500); Ahmad, Waseem (59122174100); Asif, Muhammad (58827268500); Simic, Vladimir (7005545253); Senapati, Tapan (56017255900); Hou, Muzhou (35085032100)",57525040500; 59122174100; 58827268500; 7005545253; 56017255900; 35085032100,Optimizing decision-making in electric power system selection: A generalized approach based on Hamacher aggregation operators for q-rung orthopair fuzzy soft sets,2024,Applied Energy,367,,123405,,,,10.1016/j.apenergy.2024.123405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192808505&doi=10.1016%2fj.apenergy.2024.123405&partnerID=40&md5=b9dc8e5738d06830d64a62f709b85b79,"Identifying the most suitable power source that is cost-effective, environmentally friendly, socially accepted, and capable of ensuring long-term sustainability represents a critical decision-making (DM) problem. Existing models based on traditional fuzzy sets and specific norms cannot describe complex issues such as selecting the best electric power system (EPS). These decision models can also be challenging, especially when transparency and regulatory compliance are required. This study introduces a novel operational framework based on Hamacher aggregation operators for q-rung orthopair fuzzy set soft sets. It aims to help decision-makers identify appropriate policies to overcome the shortfall of electric power. The advantages of the introduced decision support tool are better discrimination ability, well suited for handling extreme values in data, greater flexibility in representing complex DM scenarios, and parametrization. We also demonstrate the practical application of our approach to a real-world problem related to selecting the most suitable EPS in Pakistan. The selection is made from the set of five EPSs and is based on critical aspects like social acceptance, environmental impact, and cost-effectiveness. The findings show that the developed approach effectively identifies the best EPS. Tuning variables like q and ℓ allows for testing the sensitivity of the developed operators. The results showed that higher values of q make the uncertainty more evenly represented, which is essential for specific uses. The comparison with the existing approaches suggests the superiority of the proposed analytic framework. © 2024 Elsevier Ltd"
Aletaha A.; Hessami-Kermani M.-R.; Akbari R.,"Aletaha, Amirfarhad (58886343000); Hessami-Kermani, Masoud-Reza (55550267800); Akbari, Reyhaneh (57217869401)",58886343000; 55550267800; 57217869401,Enhancing Flood Routing Accuracy: A Fuzzified Approach to Nonlinear Variable-Parameter Muskingum Model,2024,Water Resources Management,38,10,,3913,3935,22,10.1007/s11269-024-03846-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192000396&doi=10.1007%2fs11269-024-03846-4&partnerID=40&md5=a5a81b277ee38573ab9c37b29967bf27,"Variable-parameter Muskingum models emerge as a highly efficient approach among the prevalent hydrological flood routing methods, owing to their accuracy and robustness. This research introduces a novel partitioning framework aimed at refining outcomes from a nonlinear variable-parameter Muskingum model by introducing fuzzification to the adjacent sub-periods of the inflow hydrograph. The results prove the efficacy of the proposed method in enhancing the accuracy of routed outflow, aligning well with the inherent characteristics of a flooding event. Validation of the newly introduced fuzzified nonlinear variable-parameter Muskingum model was conducted using four distinct case studies from the literature, including Wilson's data, the flood events in Rivers Wye and Wyre, and Viessman and Lewis' data. The evaluation of the proposed framework's effectiveness utilized the Sum of Squared Deviations (SSQ) as the objective function of the model, along with six different supplemental metrics. The results demonstrated a meaningful increase in the accuracy of the nonlinear Muskingum model for the respective cases studied. The findings imply that the proposed partitioning framework is adaptable to the variable-parameter Muskingum models with an intensity-based partitioning technique, thereby advancing the results of this conventional flood routing method. © The Author(s), under exclusive licence to Springer Nature B.V. 2024."
Bikić N.; Buzađija N.; Hrnjičić A.,"Bikić, Naida (57191849580); Buzađija, Nevzudin (57612753700); Hrnjičić, Anela (57930009500)",57191849580; 57612753700; 57930009500,The impact of early childhood education and mathematical abilities on student achievement: Analysis of TIMSS 2019,2024,International Electronic Journal of Mathematics Education,19,3,em0779,,,,10.29333/iejme/14599,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195136601&doi=10.29333%2fiejme%2f14599&partnerID=40&md5=a666145c23cd836dc873ab8eb72ea316,"This paper is based on the analysis of the relationship between early education, mathematical skills, and student achievement in Bosnia & Herzegovina, using data from the trends in international mathematics and science study (TIMSS) 2019. The study involves 5,628 fourth-grade students whose average age was 10.1 years. The research specifically focuses on factors such as the age of students at the beginning of schooling, attendance at preschool institutions, and their mathematical skills before starting school. Through the application of SPSS analysis, insights into the statistical relationships and trends between these factors are provided, emphasizing the importance of early educational experiences to improve the quality of education in Bosnia & Herzegovina. The analysis results show that the length of stay in preschool institutions, attendance in preschool programs, and the early acquisition of mathematical skills (counting skills, recognition of numeral representations, numeral writing, simple addition, and subtraction) impact later mathematical achievements of students. © 2024 by Author/s and Licensed by Modestum."
Brizuela B.M.; Strachota S.,"Brizuela, Bárbara M. (6602107409); Strachota, Susanne (57191226513)",6602107409; 57191226513,When algebra makes you smile: Playful engagement with early algebraic practices,2024,Learning and Instruction,92,,101933,,,,10.1016/j.learninstruc.2024.101933,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193257767&doi=10.1016%2fj.learninstruc.2024.101933&partnerID=40&md5=a7535c8690f40d41079b939fa9a4489b,"Background: The typical competitive and results-driven approach to school mathematics has traditionally been conceived as devoid of play, joy, and positive affect. Aims: In this paper we address the following questions: What markers of positive affect are observed while students are doing early algebra? Specifically, how are students’ markers of joy related to early algebraic practices? What are the characteristics of playful stances to learning early algebra that are observed when children express positive epistemic affect? Sample: We analyze three cases in which elementary school students engaged in tasks from an early algebra classroom teaching experiment. Methods: Drawing from two theoretical frameworks, epistemic affect and early algebra, we conducted microgenetic analyses of lesson transcripts to identify markers of joy and early algebraic practices. We conducted frequency analyses to determine their co-occurrence. Results: Our results indicate that children expressed joy while engaging in early algebraic practices, evidence of positive epistemic affect. We describe the aspects of each of the cases we present in terms of prior literature on playful stances to learning to further bolster our claims about the relationship between joy and engagement with the early algebraic practices. Conclusions: We conclude that mathematical learning environments should include open opportunities for students to engage with mathematical content, with multiple entry points and ways to respond. We also conclude that early algebraic practices provide opportunities for playfully engagement and positive epistemic affect. © 2024 Elsevier Ltd"
Xie S.; Zhang H.,"Xie, Shumeng (57225796626); Zhang, Huangwei (44861829200)",57225796626; 44861829200,Existence and chemistry of stretched ammonia/hydrogen weak flames at elevated pressures,2024,Combustion and Flame,266,,113528,,,,10.1016/j.combustflame.2024.113528,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195203923&doi=10.1016%2fj.combustflame.2024.113528&partnerID=40&md5=6cef744d5419316fcbb06c20a447bebc,"Recently, a two-stage ignition phenomenon of NH3/H2 mixtures was experimentally observed in a rapid compression machine, which is closely linked to the concept of flame bifurcations and cool flames. One interesting question may arise: do similar flame bifurcations exist in NH3/H2 mixtures? To answer this, this study employs the premixed counterflow configuration and examines the potential bifurcations of the NH3/H2/air flame with one-dimensional simulations. For the first time, a novel weak combustion mode of NH3/H2 mixtures is observed and termed as the weak flame in the following. Unlike the conventional hot flame, the weak flame exhibits significantly lower flame temperatures (1300–1500 K) and a mere 1 % of the heat release rate (∼109 J/m3/s) associated with hot flames. Within the weak flame, H2 is entirely oxidized to H2O, whereas only a portion of NH3 is partially oxidized, resulting in the formation of H2O, N2, N2O, and NO. Further reaction path analyses reveal that the NH3 (+OH) → NH2 (+NO2) → H2NO (+NH2, +HO2, +O2, +NO2) → HNO (+O2) → NO (+HO2) → NO2 → N2O pathway is the primary oxidation route of ammonia in the weak flame. Furthermore, the effects of pressure, hydrogen content, and equivalence ratio are systematically assessed to explore the operation conditions of the ammonia/hydrogen weak flame. The study reveals that the weak flame is promoted at elevated pressures, and exists with a moderate hydrogen addition, i.e., xH2 = 0.02–0.4. A regime diagram is further proposed to summarize the combined influences of hydrogen molar fraction and equivalence ratio. In the end, the impacts of chemical mechanisms are tested and the dominant ammonia oxidization path in the weak flame persists for models capable of predicting weak flames. © 2024 The Combustion Institute"
Oksanen S.M.; Hannula M.S.; Laine A.,"Oksanen, Susanna Maria (59143719100); Hannula, Markku S. (15044347200); Laine, Anu (23469525800)",59143719100; 15044347200; 23469525800,The potential of photography for mathematics education and research–A literature review,2024,International Electronic Journal of Mathematics Education,19,3,em0780,,,,10.29333/iejme/14613,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194177017&doi=10.29333%2fiejme%2f14613&partnerID=40&md5=3c613bbbb5654a2e8e4e86aa1dc02e7d,"This literature review examines the use of photography in educational research and in education, to learn how photography could be better used in teaching and learning mathematics and mathematics education research. The authors analyzed 125 publications published between 1975 and 2023 to identify different research methods and teaching solutions that utilize photography. Within educational research two main approaches that are often used combined were photo-elicitation (photographs are used in an interview as a stimulus) and photovoice (taking photographs is a way the participant communicates their perspective). Mathematics education research could also combine these methods, for example in identity research. Our findings regarding teaching show that photographs have an important role in connecting mathematics to the real world and for visualizing mathematics. The best way to engage students is when they take photographs of themselves as a starting point to mathematical activity. Based on this review we identify future exploratory directions and various research gaps. © 2024 by Author/s and Licensed by Modestum."
Lavrijsen J.; Sypré S.; Soenens B.; Vansteenkiste M.; Camerman E.; Ramos A.; Verschueren K.,"Lavrijsen, Jeroen (55822871500); Sypré, Sabine (57222590066); Soenens, Bart (56207422000); Vansteenkiste, Maarten (6602150585); Camerman, Eline (58100689600); Ramos, Alicia (57207456835); Verschueren, Karine (7004243109)",55822871500; 57222590066; 56207422000; 6602150585; 58100689600; 57207456835; 7004243109,Fostering excellence: Nurturing motivation and performance among high- and average-ability students through need-supportive teaching,2024,Journal of School Psychology,105,,101322,,,,10.1016/j.jsp.2024.101322,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192755276&doi=10.1016%2fj.jsp.2024.101322&partnerID=40&md5=ab437ff520433a2f747a85859945ab30,"When students with high cognitive abilities disengage from school, this implies a severe loss of talent to students themselves and to society. Hence, it is important to understand how teachers can prevent disengagement and underachievement in high-ability students. Whereas a large body of research has demonstrated that need-supportive teaching (i.e., the provision of autonomy support, involvement, and structure) and differentiated instruction relate positively to students' academic development, it remains unclear whether such practices would be equally, more, or less beneficial for high-ability students. Drawing on data from a longitudinal four-wave study among early adolescents from Flanders (N = 3586), this study showed that need-supportive teaching in math classes was positively associated with intrinsic motivation, behavioral engagement, and math performance in high-ability students, both at the level of between-student differences and at the level of changes in students over time. Standardized estimates were typically between 0.05 and 0.20 at the between-person level, indicating small effect sizes, with more modest effect sizes at the within-person level. Importantly, these associations were found to be generally equivalent across high- and average-ability students. Comparing the provision of need-supportive teaching to either high- or average-ability students, high-ability students particularly reported more autonomy support from their math teachers than average-ability students, with small effect sizes (i.e., Cohen's d between 0.16 and 0.27). These findings underline the importance of need-supportive teaching to support the motivational and academic development of both high- and average-ability students. © 2024 Society for the Study of School Psychology"
Ghasemabadi A.,"Ghasemabadi, Atena (55532799100)",55532799100,Mathematical modeling and control of Covid-19,2024,Mathematical Methods in the Applied Sciences,47,12,,10478,10489,11,10.1002/mma.10134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192163844&doi=10.1002%2fmma.10134&partnerID=40&md5=b0fb2ef89005c976045d8558e6bbb594,"In this paper, the author proposes and studies a mathematical model for the spread of coronavirus 2019. The effect of preventive programs on the control of disease is also considered. The basic reproduction number (Formula presented.) was computed and the results showed that forward bifurcation occured. Local and global stability of the equilibrium points of the model was studied by geometric stability method and Lyapunov function. Finally, the particular data of China which was reported for Covid-19 were used for numerical simulation. © 2024 John Wiley & Sons Ltd."
